Filme;codec;tamanho;;
/media/DISC02/OsMeusFilmes/Mr. Bean`s Vacation (2007)/Mr Bean's Holiday - As Férias de Mr. Bean (2007) r5 -whocares - Legendado PT.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Murk (2005)/Misterio na vila Dual PtBr Danish Brazilinjapan by hidecool.avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/My Boss`s Daughter (2004)/Filmes - A Filha Do Chefe Comedia - Dublado.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/My Super Ex-Girlfriend (2006)/My.Super.Ex-Girlfriend.[DVD-Rip].[DvD-RiPPeRS].avi;mpeg4;696M;;
/media/DISC02/OsMeusFilmes/National Treasure (2004)/National Treasure (2004) [tt0368891].avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Next (2007)/Next[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/No Country for Old Men (2008)/Onde.Os.Fracos.Não.Têm.Vez.2008.DVDSCR.Legendado.BR.CO2.avi;mpeg4;846M;;
/media/DISC02/OsMeusFilmes/North Country (2006)/Terra.Fria.DUBLADO.2006.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Nothing But the Truth (2009)/Nothing But The Truth 2008 DVDSCR XviD-ARiGOLD.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/O Crime do Padre Amaro (2005)/O Crime do Padre Amaro.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Open Range (2003)/Pacto.de.justica.Xvid.Dvd.Rip.dublado.by.tetsudau.[ShareBrasil].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Open Water 2 Adrift (2006)/[www.thegenius.us]Panico.Em.Alto.Mar.DVDRip.XviD.Dual.Audio-Articulador.avi;mpeg4;752M;;
/media/DISC02/OsMeusFilmes/Over the Hedge (2006)/Over.The.Hedge[2006]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Patch Adams (1999)/Patch Adams O Amor é Contagioso Legendado Br.avi;msmpeg4;670M;;
/media/DISC02/OsMeusFilmes/Pathfinder (2007)/PATHFINDER 2007 ( OS DESBRAVADORES) ( IMAGEM DE DVD) LEGENDADO BY PREEMOS QUALITY DVDS.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Porky`s (1982)/Porkys 1__OXE7.COM.avi;mpeg4;902M;;
/media/DISC02/OsMeusFilmes/Porky`s 3 Revenge (1985)/Porkys 3 Revenge__OXE7.COM.avi;mpeg4;866M;;
/media/DISC02/OsMeusFilmes/Porky`s II The Next Day (1984)/Porkys 2 The Next Day__OXE7.COM.avi;mpeg4;902M;;
/media/DISC02/OsMeusFilmes/Premonition (2007)/Premonition.Stile-Ups.by.ImmerElektro.rmvb;rv40;292M;;
/media/DISC02/OsMeusFilmes/Pretty Woman (1990)/[emulinha.info].Uma Linda Mulher DVDrip Legendado By Palanca.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Prey (2007)/Prey (2007) [tt0468536].avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/Prime (2005)/Prime.Terapia.do.Amor.Dvd-rip.Dublado-By.Mhiroyuki.Grupo.Tetsudau.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Princess Aurora (2005)/A Princesa Aurora.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Princess Mononoke (1999)/A.Princesa.Mononoke.Dvd5rip.Xvid.Dublado.PT.jotasjp.Cd.1.avi;mpeg4;714M;;
/media/DISC02/OsMeusFilmes/Private Fears in Public Places (2008)/Medos Privados Em Lugares Públicos (Coeurs) - (DVDRip.XviD.MP3) - Legendado BR - by CO2.avi;mpeg4;737M;;
/media/DISC02/OsMeusFilmes/Protégé (2007)/Protege Moon To 2007 - (DVDRip) - Legendado BR - by GMM.avi;mpeg4;705M;;
/media/DISC02/OsMeusFilmes/Ratatouille (2007)/Ratatouille[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Red Carpet (2005)/Tapete.Vermelho.PtBr.DVDRip.XVID.Mp3.Brazilinjapan.by.hidecool.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/Red Eye (2005)/Voo Noturno Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Reign of Assassins (2010)/Reign of Assassins.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Reign Over Me (2007)/Reign.Over.Me[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Rescue Dawn (2007)/Rescue.Dawn[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Revolution OS (2002)/Revolution OS.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Road Trip (2000)/Road Trip KLAXXON.avi;mpeg4;594M;;
/media/DISC02/OsMeusFilmes/Rocky Balboa (2006)/Rocky Balboa (2006) [tt0479143].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Rollin` with the Nines (2006)/Rollin with the Nines (2006) [tt0437459].avi;mpeg4;813M;;
/media/DISC02/OsMeusFilmes/Romantics Anonymous (2011)/Les émotifs anonymes__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Run, Fatboy, Run (2008)/Run Fat Boy Run KLAXXON CD1.avi;mpeg4;707M;;
/media/DISC02/OsMeusFilmes/Run, Fatboy, Run (2008)/Run Fat Boy Run KLAXXON CD2.avi;mpeg4;143M;;
/media/DISC02/OsMeusFilmes/Running Scared (2006)/Medo.de.Morte.DVDRip.XviD.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Rush Hour 2 (2001)/A Hora do Rush 2.avi;msmpeg4;556M;;
/media/DISC02/OsMeusFilmes/S.W.A.T. Firefight (2011)/S.W.A.T Firefight__WWW.OXE7.COM.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Safe (2012)/Safe__WWW.OXE7.COM.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/Salsa (1988)/Salsa-Boaz Davidson.1988.DVDRip.RePack_NoSub.[wnet.co.il].XviD.avi;mpeg4;898M;;
/media/DISC02/OsMeusFilmes/Sasquatch Hunters (2005)/Filme - Terror - A criatura da floresta - Dublado-2007.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Satan`s Little Helper (2004)/Satan's.Little.Helper[2004]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Saturday Night Fever (1977)/Saturday.Night.Fever.1977.DVDRip.XviD.avi;mpeg4;2,0G;;
/media/DISC02/OsMeusFilmes/School for Scoundrels (2006)/[CdmsLife.org].[SoCapas.com].Escola.De.Idiotas.2007.DUBLADO.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Scooby-Doo (2002)/SCOOBY_DOO.mp4;mpeg4;976M;;
/media/DISC02/OsMeusFilmes/Scoop (2006)/[CdmsLife.org].[SoCapas.com].Scoop.[O Grande Furo].2007.DUBLADO.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Sea of Fear (2006)/Mar Do Medo Dual Ptbr Eng By Hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Secretary (2003)/Secretary.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Seven Days in Utopia (2011)/Seven Days in Utopia__WWW.OXE7.COM.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/Shadowboxer (2006)/Shadowboxer (2005) [tt0396857].avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/Shall We Dance (2005)/Shall.We.Dance-Bailamos.[Spanish-DVDRip].[XviD-Mp3].by.SDG.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Shoot `Em Up (2007)/Shoot.Em.Up.2007.DvDRip.AC3 5.1-FxM.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Shooter (2007)/Shooter[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Shortcut to Happiness (2007)/Julgamento.do.Diabo.O.dual.ptbr.eng.DVDRIP.AC3.Xvid.Brazilinjapan.by.cinefila.[ShareBrasil].avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/Shutter (2004)/Filme Dublado - Espíritos 1_A Morte Anda ao Seu Lado (2004).avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Sicko (2007)/Sicko[2007]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Small Town Saturday Night (2010)/Small Town Saturday Night[2010]DvDrip[Eng]-FXG.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Snatch. (2000)/Snatch KLAXXON.avi;mpeg4;648M;;
/media/DISC02/OsMeusFilmes/Snow Dogs (2002)/Filme-Neve Pra Cachorro Comédia Dublado.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Step Up Revolution (2012)/Step Up Revolution__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Strictly Sexual (2008)/vmt-ssex-xvid.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Superbad (2007)/[eMulinha.info].SuperBad.[É Hoje].2008.DUBLADO.DVDRip.XviD.Audio.Mp3.[By Ratolino].[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Superman Returns (2006)/Superman.Returns[2006]DvDrip[Eng]-aXXo.avi;mpeg4;903M;;
/media/DISC02/OsMeusFilmes/Take the Lead (2006)/Vem.Dançar.DUBLADO.2006.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Talladega Nights The Ballad of Ricky Bobby (2006)/Filme -A Toda Velocidade 2007 Dublado Xvid (By Sergio).avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Taxi to the Dark Side (2008)/Taxi.To.The.Dark.Side.2007.DVDRip.XviD.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Teen Spirit (2011)/Teen Spirit__WWW.OXE7.COM.avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/Terminator 2 Judgment Day (1991)/Terminator.2.DC.1991.480p.HDRip.XviD.AC3-UpPTMSNM.avi;mpeg4;2,3G;;
/media/DISC02/OsMeusFilmes/The Accidental Witness (2006)/Testemunha.Acidental.Dual.PtBr.Eng.DVDRip.XVID.Ac3.Brazilinjapan.By.hidecool.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/The Ages of Love (2011)/Manual of Love__WWW.OXE7.COM.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/The American (2010)/The.American.2010.R5.LiNE.XviD-ViSiON.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/The Assassination of Jesse James by the Coward Robert Ford (2007)/The Assassination of Jesse James by the Coward Robert Ford  KLAXXON.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/The Attic (2008)/[puxando.com]O.Sotao.rmvb;rv40;267M;;
/media/DISC02/OsMeusFilmes/The Awakening (2011)/The Awakening__WWW.OXE7.COM.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Best Exotic Marigold Hotel (2012)/The Best Exotic Marigold Hote cd1__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Best Exotic Marigold Hotel (2012)/The Best Exotic Marigold Hote cd2__WWW.OXE7.COM.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/The Blue Bird (1940)/FILME - O Passaro Azul dublado e legendado.avi;mpeg4;583M;;
/media/DISC02/OsMeusFilmes/The Bourne Ultimatum (2007)/The.Bourne.Ultimatum[2007]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The Break-Up (2006)/Separados Pelo Casamento - 2006 - (Dublado) - Comédia Romantica.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Brothers Solomon (2007)/The.Brothers.Solomon.2007.DvDRip.AC3 5.1-FxM.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The Butterfly Effect 2 (2006)/Efeito.Borboleta.II.2006.DVDRip.XViD.Dublado.Audio.Mp3.avi;mpeg4;706M;;
/media/DISC02/OsMeusFilmes/The Butterfly Effect 3 Revelations (2009)/Butterfly Effect 3 Relevation - Xvid.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Cave (2005)/A Caverna Dublado 2006 Dvdrip Xvid Audio Mp3 By Ratolino.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/The Constant Gardener (2005)/O Jardineiro Fiel.DUBLADO.2006.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Contract (2007)/O Contrato.avi;mpeg4;648M;;
/media/DISC02/OsMeusFilmes/The Contractor (2007)/THE CONTRACTOR 2007 ( WESLEY SNIPES) LEGENDADO BY PREEMOS QUALITY DVDS.avi;mpeg4;696M;;
/media/DISC02/OsMeusFilmes/The Devil Wears Prada (2006)/O.Diabo.Veste.Prada.DUBLADO.2007.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Devil`s Advocate (1998)/O Advogado Do Diabo (Legendado).avi;mpeg4;704M;;
/media/DISC02/OsMeusFilmes/The Devil`s Rejects (2005)/Rejeitados pelo Diabo Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/The Doors Dance on Fire (1985)/[eMulinha.info].the doors o filme - legendado.avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/The Eye of the Storm (2012)/The Eye of the Storm cd1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Eye of the Storm (2012)/The Eye of the Storm cd2.avi;mpeg4;695M;;
/media/DISC02/OsMeusFilmes/The Fast and the Furious Tokyo Drift (2006)/Velozes e Furiosos 3 Desafio em Tóquio ( Dublado em portugues) By Ratolino.avi;mpeg4;644M;;
/media/DISC02/OsMeusFilmes/The Fountain (2007)/La.Fuente.de.la.Vida.(The.Fountain).DvDRip.DivX.Dual.[Spanish.AC3.(5.1).&.English.(Mp3)].By.Gato.Jazz.[[NimTeAm]].avi;mpeg4;1,1G;;
/media/DISC02/OsMeusFilmes/The Frighteners (1996)/Os.Espiritos.-.DVDRip.dublado.por.Timelord.[ShareBrasil].avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Girl Next Door (2004)/Show de Vizinha (By Lekin - www.theultimates.us).rmvb;rv40;357M;;
/media/DISC02/OsMeusFilmes/The Golden Compass (2007)/lrc-tgca.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/The Golden Compass (2007)/lrc-tgcb.avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/The Great Flood Paris 2010 (2006)/Paris 2010 A Grande Inundacao •-[ LANÇAMENTO 2007] - (dublado Br-xvid) by Marcão e Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Hitcher (2007)/A Morte Pede Carona.rmvb;rv40;281M;;
/media/DISC02/OsMeusFilmes/The Holiday (2006)/O.Amor.Não.Tira.Férias.2007.DUBLADO.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;1000M;;
/media/DISC02/OsMeusFilmes/The House Bunny (2008)/The.House.Bunny.DVDRip.XviD-aXXo.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The King`s Speech (2011)/The Kings Speech CD1__WWW.SECTORFILE.COM.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The King`s Speech (2011)/The Kings Speech CD2__WWW.SECTORFILE.COM.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The Kovak Box (2007)/The.Kovak.Box.2006.(2007DVD).Xvid-SER.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Last Legion (2007)/The Last Legion[2007]DvDrip AC3[Eng]-Zuzuu.avi;mpeg4;834M;;
/media/DISC02/OsMeusFilmes/The Last Mimzy (2007)/The Last Mimzy(2007) [tt0768212].avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The Life Before Her Eyes (2009)/The.Life.Before.Her.Eyes.LIMITED.DVDRip.XviD-iMBT.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/The Lookout (2007)/O.Vigia.2008.DUBLADO.DVDRip.XviD.Audio.Mp3.[By Ratolino].[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Machinist (2005)/Operario.by.LARKIFFY.UV.rmvb;rv40;332M;;
/media/DISC02/OsMeusFilmes/The Marine (2006)/Busca Explosiva Xvid dublado by Dombroski 2007.[ShareBrasil].avi;mpeg4;705M;;
/media/DISC02/OsMeusFilmes/The Messengers (2007)/Os Mensageiros - The.Messengers[2007]DvDrip.legendado.avi;mpeg4;719M;;
/media/DISC02/OsMeusFilmes/The Night Listener (2006)/Segredos Na Noite Dublado-.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/The Nutty Professor (1964)/Jerry Lewis - O Professor Aloprado 1963 DVDrip XVID Audio MP3 Dublado By Lobo Acreano.[ShareBrasil].avi;mpeg4;871M;;
/media/DISC02/OsMeusFilmes/The Pink Panther (2006)/A Pantera Cor De Rosa O Filme 2006 DUBLADO.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Plague (2006)/A Praga.[Terror].2007.DUBLADO-PT-BR.XviD.(by Sergio).avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Polar Express (2004)/Desenho Expresso Polar - Dublado Em Portugues.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/The Queen (2006)/The.Queen.La.Reina.(Spanish).(DVD-Rip).(XviD-mp3).[HispaShare.Com].(by.FreAk.TEAm).(elitefreak.net).avi;mpeg4;699M;;
/media/DISC02/OsMeusFilmes/The Running Man (1988)/O Sobrevivente, 2007 - (DVDRip.DviX6.MP3) - Legendado BR - by CO2.avi;mpeg4;815M;;
/media/DISC02/OsMeusFilmes/The School of Rock (2004)/Escola De Rock (Legendado) Dvdrip Xvid.avi;mpeg4;693M;;
/media/DISC02/OsMeusFilmes/The Secret (2007)/The_Secret.rmvb;rv40;310M;;
/media/DISC02/OsMeusFilmes/The Snows of Kilimanjaro (2012)/Les Neiges Du Kilimandjaro__WWW.OXE7.COM.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/The Source (2012)/La Source des Femmes__WWW.OXE7.COM.avi;mpeg4;1,5G;;
/media/DISC02/OsMeusFilmes/The Stone Council (2006)/CONSELHO DE PEDRA 2008 ( IMAGEM DE DVD) LEGENDADO BY PREEMOS QUALITY DVDS.avi;mpeg4;697M;;
/media/DISC02/OsMeusFilmes/The Terminator (1985)/The.Terminator.1984.BRRip.XviD.AC3-UpPTMSNM.avi;mpeg4;1,8G;;
/media/DISC02/OsMeusFilmes/The Three Burials of Melquiades Estrada (2006)/Três Enterros.Dublado em português.Lançamento 2006.(Tommy Lee Jones).DVDRip.xviD.by ratos de locadora.avi;mpeg4;698M;;
/media/DISC02/OsMeusFilmes/The Veteran (2006)/O Veterano Dublado Dvdrip Xvid Audio Mp3 Lancamento 2006 By Dombroski.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Whole Ten Yards (2004)/Video - Filme - Meu Vizinho Mafioso 2 Dvdrip Dublado By Tetsudau.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/The Wind That Shakes the Barley (2006)/The.Wind.That.Shakes.the.Barley.CD1.LiMiTED.DVDRip.XviD-DoNE.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/The Wind That Shakes the Barley (2006)/The.Wind.That.Shakes.the.Barley.CD2.LiMiTED.DVDRip.XviD-DoNE.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Thin Ice (2011)/Thin Ice__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Thr3e (2007)/3.Desculpas.Para.Matar.DUBLADO.2007.DVDRip.XviD.Audio.Mp3.By.Ratolino.[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Tiny Furniture (2012)/Tiny Furniture__WWW.OXE7.COM.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Too Fast Too Young (1996)/Correr.ou.Morrer.2008.DvDRiP.XviD.Dublado.By.KaNaByS.[ShareBrasil].avi;mpeg4;721M;;
/media/DISC02/OsMeusFilmes/Tropic Thunder (2008)/Tropic.Thunder.DVDRip.XviD-DiAMOND.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Trust the Man (2006)/Totalmente Apaixonados Dual Ptbr Eng Dvdrip Ac3 Xvid Brazilinjapan By Cinefila.avi;mpeg4;1,2G;;
/media/DISC02/OsMeusFilmes/Two for the Money (2006)/Tudo.Por.Dinheiro.DUBLADO.2006.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Ultraviolet (2006)/[emulinha.info].Ultravioleta.DUBLADO.2006.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;706M;;
/media/DISC02/OsMeusFilmes/Underground (2007)/Underground-Submundo.Sangrento.(Dublado).cd1.DvdRip.Xvid.[robertjp].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Underground (2007)/Underground-Submundo.Sangrento.(Dublado).cd2.DvdRip.Xvid.[robertjp].avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Until Death (2007)/Ate a morte Dual PtBr Eng.by hidecool.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/V for Vendetta (2006)/vdevinganca.avi;mpeg4;1,4G;;
/media/DISC02/OsMeusFilmes/Venom (2005)/Venom (DUBLADO)2006 - terror.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/Waist Deep (2006)/Ruas Sangrentas - O Acerto Final (Dublado)2006.avi;mpeg4;700M;;
/media/DISC02/OsMeusFilmes/Warriors (2002)/Os.Guerreiros.Dublado.DvdRip.Xvid.robertjp.avi;mpeg4;702M;;
/media/DISC02/OsMeusFilmes/Wayne`s World (1993)/Filmes - Quanto Mais Idiota Melhor (Dublado-Ptbr) Dvdrip Por Phalanx Comedia.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/We Are Marshall (2006)/We.Are.Marshall[2006]DvDrip[Eng]-aXXo.avi;mpeg4;703M;;
/media/DISC02/OsMeusFilmes/What a Girl Wants (2003)/filme romance Tudo Que Uma Garota Quer - Dublado Brasil (Edy Tk).avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Wild Hogs (2007)/MOTOQUEIROS SELVAGENS Wild Hogs - (TS) - Legendado BR - by GMM.avi;mpeg4;688M;;
/media/DISC02/OsMeusFilmes/Winter Break (2003)/Filmes - Louca Ferias De Inverno - Dublado.2007.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Within (2011)/Escolhido.O.Legendado.eng.DVDRip.Xvid.ac3.Brazilinjapan.by.Ladder.[ShareBrasil].avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/World Trade Center (2006)/dmd-wtc-cd1.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/World Trade Center (2006)/dmd-wtc-cd2.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/You Kill Me (2007)/You Kill Me[2007]DvDrip AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmes/Zathura A Space Adventure (2005)/Zathura Dublado 2006 Dvdrip Xvid Audio Mp3 By Ratolino.avi;mpeg4;701M;;
/media/DISC02/OsMeusFilmesHD/A Nightmare on Elm Street (2010)/A.Nightmare.on.Elm.Street.2010.BRRip.XviD.AC3 - UpPTMSNM.avi;mpeg4;1,8G;;
/media/DISC02/OsMeusFilmesHD/BloodRayne (2006)/BloodRayne.2005.BRRip.XviD.720p-NPW.avi;mpeg4;2,6G;;
/media/DISC03/OsMeusFilmes/Abgefahren (2004)/SpeedKings.P.A.Dublado-by.Tetsudau.[ShareBrasil].avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Amália (2008)/Amália DVD.mkv;mpeg2video;4,1G;;
/media/DISC03/OsMeusFilmes/Anacondas The Hunt for the Blood Orchid (2004)/Anacondas The Hunt for the Blood Orchid (2004) [tt0366174].AVI;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Apartment 12 (2001)/Vizinho.Amoroso.DUBLADO.2006.DVDRip.XviD.Dual.Audio.Mp3.By.Ratolino.avi;mpeg4;704M;;
/media/DISC03/OsMeusFilmes/Bandidas (2006)/Bandidas 2006 Dublado Dvdrip Xvid Dual Audio Mp3 By Ratolino.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Bangkok Robbery (2004)/102 Piit Krungthep Plon (2004) [tt0495570].avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Biohazard Degeneration (2008)/Resident Evil Degeneration__WWW.PIRATATUGA.NET.avi;mpeg4;697M;;
/media/DISC03/OsMeusFilmes/Black Sheep (2007)/Black Sheep.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Blood Diamond (2007)/Blood Diamond (2006) [tt0450259].avi;mpeg4;1,3G;;
/media/DISC03/OsMeusFilmes/Bloody Streetz (2003)/Bloody Streetz (2003) [tt0344942].avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Blur (2007)/Blur[2007]DvDrip.AC3[Eng]-aXXo.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Breach (2007)/Breach[2007]DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Breaking and Entering (2007)/Invasão.De.Domicílio.DUBLADO.2007.DVDRip.XviD.Audio.Mp3.By.Ratolino.avi;mpeg4;815M;;
/media/DISC03/OsMeusFilmes/Bruce Almighty (2003)/Filme - O Todo Poderoso Dublado.avi;mpeg4;700M;;
/media/DISC03/OsMeusFilmes/Bryan Singer and Dean Devlin Present The Triangle (2005)/Misterio do Triangulo das Bermudas,O CD01 Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Bryan Singer and Dean Devlin Present The Triangle (2005)/Misterio do Triangulo das Bermudas,O CD02 Dual PtBr Eng Brazilinjapan by hidecool.avi;mpeg4;703M;;
/media/DISC03/OsMeusFilmes/Cold Blood (2005)/Psicopata,O.Dublado.PtBr.DVDRip.XVID.Ac3.Brazilinjapan.by.hidecool.avi;mpeg4;699M;;
/media/DISC03/OsMeusFilmes/Confessions of a Shopaholic (2009)/Confessions of a Shopaholic DVD.mkv;mpeg2video;4,2G;;
/media/DISC03/OsMeusFilmes/Constantine (2005)/Constantine (2005) [tt0360486].rmvb;rv40;394M;;
/media/DISC03/OsMeusFilmes/Cool Runnings (1994)/Jamaica.Abaixo.De.Zero.DVDRip.XviD-NoGrp.avi;mpeg4;701M;;
/media/DISC03/OsMeusFilmes/Crash (2005)/Crash__WWW.OXE7.COM.avi;mpeg4;702M;;
/media/DISC03/OsMeusFilmes/Cruel Intentions (1999)/Cruel Intentions KLAXXON.avi;mpeg4;988M;;
/media/DISC03/OsMeusFilmes/Cruel Intentions 2 (2001)/Cruel Intentions 2.LKRG.avi;mpeg4;701M;;
